phase,job_id,config,epochs,task,seed,hardware,runtime_min,final_reward,planning_reward,method,checkpoint
phase3,4011713_0,baseline,15000,reacher-easy,42,H100,15,981.20,980.00,frozen_wm,mt30_48M_4900000.pt
phase3,4011713_1,baseline,15000,reacher-easy,123,H100,15,983.50,982.00,frozen_wm,mt30_48M_4900000.pt
phase3,4011713_2,baseline,15000,reacher-easy,456,H100,15,982.20,981.00,frozen_wm,mt30_48M_4900000.pt
phase3,4011713_3,baseline,15000,walker-stand,42,H100,15,972.32,970.00,frozen_wm,mt30_48M_4900000.pt
phase3,4011713_4,baseline,15000,walker-stand,123,H100,15,923.48,920.00,frozen_wm,mt30_48M_4900000.pt
phase3,4011713_5,baseline,15000,walker-stand,456,H100,15,977.35,975.00,frozen_wm,mt30_48M_4900000.pt
phase3,4011713_6,baseline,15000,cheetah-run,42,H100,15,93.69,90.00,frozen_wm,mt30_48M_4900000.pt
phase3,4011713_7,baseline,15000,cheetah-run,123,H100,15,108.80,105.00,frozen_wm,mt30_48M_4900000.pt
phase3,4011713_8,baseline,15000,cheetah-run,456,H100,15,134.97,130.00,frozen_wm,mt30_48M_4900000.pt
phase3,4011714_0,flow_policy,15000,reacher-easy,42,H100,15,976.70,975.00,frozen_wm,mt30_48M_4900000.pt
phase3,4011714_1,flow_policy,15000,reacher-easy,123,H100,15,983.40,982.00,frozen_wm,mt30_48M_4900000.pt
phase3,4011714_2,flow_policy,15000,reacher-easy,456,H100,15,981.90,980.00,frozen_wm,mt30_48M_4900000.pt
phase3,4011740_0,flow_policy,15000,walker-stand,42,H100,15,854.53,850.00,frozen_wm,mt30_48M_4900000.pt
phase3,4011714_1,flow_policy,15000,walker-stand,123,H100,15,744.92,740.00,frozen_wm,mt30_48M_4900000.pt
phase3,4011740_2,flow_policy,15000,walker-stand,456,H100,15,919.90,915.00,frozen_wm,mt30_48M_4900000.pt
phase3,4011740_3,flow_policy,15000,cheetah-run,42,H100,15,80.97,78.00,frozen_wm,mt30_48M_4900000.pt
phase3,4011740_4,flow_policy,15000,cheetah-run,123,H100,15,94.75,92.00,frozen_wm,mt30_48M_4900000.pt
phase3,4011740_5,flow_policy,15000,cheetah-run,456,H100,15,120.52,118.00,frozen_wm,mt30_48M_4900000.pt
phase4,4012433_0,fullflow,10000,reacher-easy,42,H100,79,112.20,47.50,from_scratch,none
phase4,4012433_1,fullflow,10000,reacher-easy,123,H100,78,39.10,122.30,from_scratch,none
phase4,4012433_2,fullflow,10000,reacher-easy,456,H100,79,104.50,101.30,from_scratch,none
phase4,4012433_3,fullflow,10000,walker-stand,42,H100,86,141.68,117.09,from_scratch,none
phase4,4012433_4,fullflow,10000,walker-stand,123,H100,79,140.52,145.36,from_scratch,none
phase4,4012433_5,fullflow,10000,walker-stand,456,H100,79,127.64,120.77,from_scratch,none
