checkpoint,checkpoint_path,quality,yaw_bin,windows,action_mse_mean,action_l2_error_mean,target_action_l2_mean,pred_action_l2_mean,action_rate_l2_mean
uniform_seed0,scripts/outputs/mjlab_qs/policy_extraction/rerun_g1_bc_expert_uniform_mlp50k_20260528/velocity_flat_unitree_g1/mlp_ref/mlp/offline/bc50k_expert_uniform_policy0k/seed_0/final_policy_extraction.pt,expert,"[0,0.175)",479,1.0497170359009026e-05,0.003064772483575817,0.3025883473533678,0.3019600790577293,0.0036408105449039405
uniform_seed0,scripts/outputs/mjlab_qs/policy_extraction/rerun_g1_bc_expert_uniform_mlp50k_20260528/velocity_flat_unitree_g1/mlp_ref/mlp/offline/bc50k_expert_uniform_policy0k/seed_0/final_policy_extraction.pt,expert,"[0.175,0.35)",365,1.546112192182304e-05,0.0034735236163825206,0.33772313496837875,0.33712762022671633,0.012029421329498292
uniform_seed0,scripts/outputs/mjlab_qs/policy_extraction/rerun_g1_bc_expert_uniform_mlp50k_20260528/velocity_flat_unitree_g1/mlp_ref/mlp/offline/bc50k_expert_uniform_policy0k/seed_0/final_policy_extraction.pt,expert,"[0.35,0.525)",341,2.39938341867714e-05,0.003949033855692732,0.3458258245697469,0.345163514537196,0.02063605739923516
uniform_seed0,scripts/outputs/mjlab_qs/policy_extraction/rerun_g1_bc_expert_uniform_mlp50k_20260528/velocity_flat_unitree_g1/mlp_ref/mlp/offline/bc50k_expert_uniform_policy0k/seed_0/final_policy_extraction.pt,expert,"[0.525,inf)",441,6.624617346703939e-05,0.005308192333126284,0.3487458348003915,0.3480129544697111,0.0395740955865302
uniform_seed0,scripts/outputs/mjlab_qs/policy_extraction/rerun_g1_bc_expert_uniform_mlp50k_20260528/velocity_flat_unitree_g1/mlp_ref/mlp/offline/bc50k_expert_uniform_policy0k/seed_0/final_policy_extraction.pt,expert_noisy,"[0,0.175)",129,0.0024801190047301063,0.04936813753704692,0.3115612887596899,0.30755310650019685,0.06987823072329973
uniform_seed0,scripts/outputs/mjlab_qs/policy_extraction/rerun_g1_bc_expert_uniform_mlp50k_20260528/velocity_flat_unitree_g1/mlp_ref/mlp/offline/bc50k_expert_uniform_policy0k/seed_0/final_policy_extraction.pt,expert_noisy,"[0.175,0.35)",77,0.002504269023994347,0.04959368396114994,0.32964907064066307,0.32619164206764917,0.07476287073903269
uniform_seed0,scripts/outputs/mjlab_qs/policy_extraction/rerun_g1_bc_expert_uniform_mlp50k_20260528/velocity_flat_unitree_g1/mlp_ref/mlp/offline/bc50k_expert_uniform_policy0k/seed_0/final_policy_extraction.pt,expert_noisy,"[0.35,0.525)",76,0.0024895166095934415,0.0494124920744645,0.3294248580932617,0.3261040386400725,0.08320167190150211
uniform_seed0,scripts/outputs/mjlab_qs/policy_extraction/rerun_g1_bc_expert_uniform_mlp50k_20260528/velocity_flat_unitree_g1/mlp_ref/mlp/offline/bc50k_expert_uniform_policy0k/seed_0/final_policy_extraction.pt,expert_noisy,"[0.525,inf)",92,0.0024743580623813296,0.04923208900119947,0.3415055274963379,0.3394522459610649,0.09179853356402853
uniform_seed1,scripts/outputs/mjlab_qs/policy_extraction/rerun_g1_bc_expert_uniform_mlp50k_20260528/velocity_flat_unitree_g1/mlp_ref/mlp/offline/bc50k_expert_uniform_policy0k/seed_1/final_policy_extraction.pt,expert,"[0,0.175)",479,9.915434246462826e-06,0.002981624175213075,0.3025883473533678,0.30268101303960687,0.0036408105449039405
uniform_seed1,scripts/outputs/mjlab_qs/policy_extraction/rerun_g1_bc_expert_uniform_mlp50k_20260528/velocity_flat_unitree_g1/mlp_ref/mlp/offline/bc50k_expert_uniform_policy0k/seed_1/final_policy_extraction.pt,expert,"[0.175,0.35)",365,1.6170957808267987e-05,0.0035981457323244173,0.33772313496837875,0.3375083910275812,0.012029421329498292
uniform_seed1,scripts/outputs/mjlab_qs/policy_extraction/rerun_g1_bc_expert_uniform_mlp50k_20260528/velocity_flat_unitree_g1/mlp_ref/mlp/offline/bc50k_expert_uniform_policy0k/seed_1/final_policy_extraction.pt,expert,"[0.35,0.525)",341,2.4235473305281917e-05,0.004013863564236772,0.3458258245697469,0.34543314008069526,0.02063605739923516
uniform_seed1,scripts/outputs/mjlab_qs/policy_extraction/rerun_g1_bc_expert_uniform_mlp50k_20260528/velocity_flat_unitree_g1/mlp_ref/mlp/offline/bc50k_expert_uniform_policy0k/seed_1/final_policy_extraction.pt,expert,"[0.525,inf)",441,6.599642683238703e-05,0.005383198949890613,0.3487458348003915,0.348143331047629,0.0395740955865302
uniform_seed1,scripts/outputs/mjlab_qs/policy_extraction/rerun_g1_bc_expert_uniform_mlp50k_20260528/velocity_flat_unitree_g1/mlp_ref/mlp/offline/bc50k_expert_uniform_policy0k/seed_1/final_policy_extraction.pt,expert_noisy,"[0,0.175)",129,0.002482923195343609,0.04939643726792446,0.3115612887596899,0.3082512848136961,0.06987823072329973
uniform_seed1,scripts/outputs/mjlab_qs/policy_extraction/rerun_g1_bc_expert_uniform_mlp50k_20260528/velocity_flat_unitree_g1/mlp_ref/mlp/offline/bc50k_expert_uniform_policy0k/seed_1/final_policy_extraction.pt,expert_noisy,"[0.175,0.35)",77,0.0024916707695304572,0.049474973183173634,0.32964907064066307,0.32650959956181513,0.07476287073903269
uniform_seed1,scripts/outputs/mjlab_qs/policy_extraction/rerun_g1_bc_expert_uniform_mlp50k_20260528/velocity_flat_unitree_g1/mlp_ref/mlp/offline/bc50k_expert_uniform_policy0k/seed_1/final_policy_extraction.pt,expert_noisy,"[0.35,0.525)",76,0.0024897493422031403,0.04941612168362266,0.3294248580932617,0.3265303561561986,0.08320167190150211
