phase,job_id,config,task,seed,hardware,runtime_min,final_reward,planning_reward,method,epochs,checkpoint
phase5,4012434_0,high_precision_wm,walker-stand,42,H100,179,142.26,128.08,from_scratch,15000,none
phase5,4012434_1,high_precision_wm,walker-stand,123,H100,179,117.88,141.79,from_scratch,15000,none
phase5,4012434_2,high_precision_wm,walker-stand,456,H100,176,156.10,112.70,from_scratch,15000,none
phase5,4012434_3,high_precision_policy,walker-stand,42,H100,127,142.25,128.08,from_scratch,15000,none
phase5,4012434_4,high_precision_policy,walker-stand,123,H100,126,156.06,99.91,from_scratch,15000,none
phase5,4012434_5,high_precision_policy,walker-stand,456,H100,127,146.24,146.33,from_scratch,15000,none
phase5,4012434_6,euler_fast,walker-stand,42,H100,79,142.26,128.08,from_scratch,15000,none
phase5,4012434_7,euler_fast,walker-stand,123,H100,80,156.07,99.90,from_scratch,15000,none
phase5,4012434_8,euler_fast,walker-stand,456,H100,79,156.10,112.70,from_scratch,15000,none
phase5,4012434_9,high_precision_wm,cheetah-run,42,H100,175,0.27,0.28,from_scratch,15000,none
phase5,4012434_10,high_precision_wm,cheetah-run,123,H100,174,0.19,0.18,from_scratch,15000,none
phase5,4012434_11,high_precision_wm,cheetah-run,456,H100,175,0.24,0.24,from_scratch,15000,none
phase5,4012434_12,high_precision_policy,cheetah-run,42,H100,127,0.21,0.21,from_scratch,15000,none
phase5,4012434_13,high_precision_policy,cheetah-run,123,H100,126,0.19,0.18,from_scratch,15000,none
phase5,4012434_14,high_precision_policy,cheetah-run,456,H100,137,0.16,0.22,from_scratch,15000,none
phase5,4012434_15,euler_fast,cheetah-run,42,H100,80,0.21,0.21,from_scratch,15000,none
phase5,4012434_16,euler_fast,cheetah-run,123,H100,79,4.08,4.00,from_scratch,15000,none
phase5,4012434_17,euler_fast,cheetah-run,456,H100,79,0.16,0.22,from_scratch,15000,none
