phase,job_id,config,epochs,task,seed,hardware,runtime_min,final_reward,planning_reward,method,checkpoint
phase6,4012537_0,Baseline,100000,reacher-easy,42,H200,311,438.50,229.80,from_scratch,none
phase6,4012537_1,Baseline,100000,reacher-easy,123,H200,306,81.60,2.20,from_scratch,none
phase6,4012537_2,Baseline,100000,reacher-easy,456,H200,313,113.10,83.00,from_scratch,none
phase6,4012537_3,Baseline,100000,walker-stand,42,H200,314,213.53,254.40,from_scratch,none
phase6,4012537_4,Baseline,100000,walker-stand,123,H200,315,159.29,157.37,from_scratch,none
phase6,4012537_5,Baseline,100000,walker-stand,456,H200,315,150.36,152.31,from_scratch,none
phase6,4012537_6,Baseline,100000,cheetah-run,42,H200,306,0.32,0.37,from_scratch,none
phase6,4012537_7,Baseline,100000,cheetah-run,123,H200,304,1.94,1.85,from_scratch,none
phase6,4012537_8,Baseline,100000,cheetah-run,456,H200,310,2.50,2.64,from_scratch,none
phase6,4012535_0,Baseline,50000,reacher-easy,42,H100,156,130.20,167.60,from_scratch,none
phase6,4012535_1,Baseline,50000,reacher-easy,123,H100,152,1.00,0.50,from_scratch,none
phase6,4012535_2,Baseline,50000,reacher-easy,456,H100,154,188.60,63.40,from_scratch,none
phase6,4012535_3,Baseline,50000,walker-stand,42,H100,158,93.63,60.92,from_scratch,none
phase6,4012535_4,Baseline,50000,walker-stand,123,H100,157,136.76,142.45,from_scratch,none
phase6,4012535_5,Baseline,50000,walker-stand,456,H100,157,147.34,149.48,from_scratch,none
phase6,4012535_6,Baseline,50000,cheetah-run,42,H100,154,44.35,40.38,from_scratch,none
phase6,4012535_7,Baseline,50000,cheetah-run,123,H100,153,0.64,0.65,from_scratch,none
phase6,4012535_8,Baseline,50000,cheetah-run,456,H100,155,0.61,0.62,from_scratch,none
phase6,4012533_0,Baseline,15000,reacher-easy,42,H100,49,54.00,0.60,from_scratch,none
phase6,4012533_1,Baseline,15000,reacher-easy,123,H100,51,153.40,121.20,from_scratch,none
phase6,4012533_2,Baseline,15000,reacher-easy,456,H100,50,3.30,92.10,from_scratch,none
phase6,4012533_3,Baseline,15000,walker-stand,42,H100,49,139.98,137.81,from_scratch,none
phase6,4012533_4,Baseline,15000,walker-stand,123,H100,50,156.05,99.90,from_scratch,none
phase6,4012533_5,Baseline,15000,walker-stand,456,H100,50,151.09,143.17,from_scratch,none
phase6,4012533_6,Baseline,15000,cheetah-run,42,H100,48,0.19,0.14,from_scratch,none
phase6,4012533_7,Baseline,15000,cheetah-run,123,H100,48,0.14,0.14,from_scratch,none
phase6,4012533_8,Baseline,15000,cheetah-run,456,H100,48,0.24,0.25,from_scratch,none
phase6,4012534_0,FullFlow,15000,reacher-easy,42,H100,202,53.80,0.60,from_scratch,none
phase6,4012534_1,FullFlow,15000,reacher-easy,123,H100,189,147.20,117.40,from_scratch,none
phase6,4012534_2,FullFlow,15000,reacher-easy,456,H100,189,33.20,46.90,from_scratch,none
phase6,4012534_3,FullFlow,15000,walker-stand,42,H100,188,142.36,128.08,from_scratch,none
phase6,4012534_4,FullFlow,15000,walker-stand,123,H100,185,153.06,151.15,from_scratch,none
phase6,4012534_5,FullFlow,15000,walker-stand,456,H100,190,156.10,112.70,from_scratch,none
phase6,4012534_6,FullFlow,15000,cheetah-run,42,H100,185,0.21,0.20,from_scratch,none
phase6,4012534_7,FullFlow,15000,cheetah-run,123,H100,184,0.05,0.05,from_scratch,none
phase6,4012534_8,FullFlow,15000,cheetah-run,456,H100,187,0.66,0.66,from_scratch,none
