phase,job_id,config,task,seed,hardware,runtime_min,final_reward,planning_reward,method,epochs,checkpoint
phase7,4012601_0,baseline,reacher-easy,42,H100,44,54.00,90.70,finetune_wm,15000,mt30_48M_4900000.pt
phase7,4012601_1,baseline,reacher-easy,123,H100,44,1.70,1.20,finetune_wm,15000,mt30_48M_4900000.pt
phase7,4012601_2,baseline,reacher-easy,456,H100,45,1.40,3.40,finetune_wm,15000,mt30_48M_4900000.pt
phase7,4012601_3,baseline,walker-stand,42,H100,46,95.04,87.66,finetune_wm,15000,mt30_48M_4900000.pt
phase7,4012601_4,baseline,walker-stand,123,H100,43,284.19,276.09,finetune_wm,15000,mt30_48M_4900000.pt
phase7,4012601_5,baseline,walker-stand,456,H100,44,149.57,186.57,finetune_wm,15000,mt30_48M_4900000.pt
phase7,4012601_6,baseline,cheetah-run,42,H100,43,19.72,17.63,finetune_wm,15000,mt30_48M_4900000.pt
phase7,4012601_7,baseline,cheetah-run,123,H100,42,14.08,14.81,finetune_wm,15000,mt30_48M_4900000.pt
phase7,4012601_8,baseline,cheetah-run,456,H100,43,56.44,48.46,finetune_wm,15000,mt30_48M_4900000.pt
phase7,4012601_9,flow_std,reacher-easy,42,H100,51,0.60,4.60,finetune_wm,15000,mt30_48M_4900000.pt
phase7,4012601_10,flow_std,reacher-easy,123,H100,51,5.10,36.10,finetune_wm,15000,mt30_48M_4900000.pt
phase7,4012601_11,flow_std,reacher-easy,456,H100,53,0.50,27.20,finetune_wm,15000,mt30_48M_4900000.pt
phase7,4012601_12,flow_std,walker-stand,42,H100,52,34.22,40.51,finetune_wm,15000,mt30_48M_4900000.pt
phase7,4012601_13,flow_std,walker-stand,123,H100,51,113.30,164.76,finetune_wm,15000,mt30_48M_4900000.pt
phase7,4012601_14,flow_std,walker-stand,456,H100,52,119.42,101.26,finetune_wm,15000,mt30_48M_4900000.pt
phase7,4012601_15,flow_std,cheetah-run,42,H100,51,3.18,3.24,finetune_wm,15000,mt30_48M_4900000.pt
phase7,4012601_16,flow_std,cheetah-run,123,H100,51,18.60,13.11,finetune_wm,15000,mt30_48M_4900000.pt
phase7,4012601_17,flow_std,cheetah-run,456,H100,51,0.91,0.92,finetune_wm,15000,mt30_48M_4900000.pt
phase7,4012601_18,flow_high,reacher-easy,42,H100,62,2.70,1.00,finetune_wm,15000,mt30_48M_4900000.pt
phase7,4012601_19,flow_high,reacher-easy,123,H100,63,1.30,100.10,finetune_wm,15000,mt30_48M_4900000.pt
phase7,4012601_20,flow_high,reacher-easy,456,H100,63,0.70,24.30,finetune_wm,15000,mt30_48M_4900000.pt
phase7,4012601_21,flow_high,walker-stand,42,H100,63,37.24,38.40,finetune_wm,15000,mt30_48M_4900000.pt
phase7,4012601_22,flow_high,walker-stand,123,H100,62,94.25,75.68,finetune_wm,15000,mt30_48M_4900000.pt
phase7,4012601_23,flow_high,walker-stand,456,H100,63,135.59,173.93,finetune_wm,15000,mt30_48M_4900000.pt
phase7,4012601_24,flow_high,cheetah-run,42,H100,62,26.82,26.60,finetune_wm,15000,mt30_48M_4900000.pt
phase7,4012601_25,flow_high,cheetah-run,123,H100,63,15.06,20.08,finetune_wm,15000,mt30_48M_4900000.pt
phase7,4012601_26,flow_high,cheetah-run,456,H100,62,24.78,24.73,finetune_wm,15000,mt30_48M_4900000.pt
