stage,task_key,task_id,dataset,metadata,normalization,policy_checkpoint,synthetic_replay,output_dir,seed,update_iters,real_batch_size,synthetic_batch_size,actor_lr,advantage_source,adv_temperature,weight_clip,bc_anchor_weight,action_deviation_weight,support_action_penalty_weight,conservative_q_weight,critic_actor_weight,grad_norm,split,quality_filter,real_quality_mixture,real_require_no_fall_window,real_require_no_done_window,log_every,real_eval_every,real_eval_episodes,real_eval_num_envs,real_eval_selection_metric,real_eval_length_weight,real_eval_fall_penalty,real_eval_stop_score_below,real_eval_early_stop_patience,real_eval_min_delta,real_eval_baseline_return,real_eval_baseline_length,real_eval_baseline_fall,episode_length,enable_wandb,wandb_project,wandb_group,wandb_name,notes
flow_mbpo_h1_exact_replay_realonly_ratio_20260604,velocity_flat_unitree_g1,Mjlab-Velocity-Flat-Unitree-G1,scripts/outputs/mjlab_qs/windows/rerun_a25_native_qs_g1stage4_expertboost_20260527/velocity_flat_unitree_g1/d_qs_core_h16.pt,scripts/outputs/mjlab_qs/windows/rerun_a25_native_qs_g1stage4_expertboost_20260527/velocity_flat_unitree_g1/d_qs_core_h16.json,scripts/outputs/mjlab_qs/windows/rerun_a25_native_qs_g1stage4_expertboost_20260527/velocity_flat_unitree_g1/d_qs_core_h16_normalization.json,scripts/outputs/mjlab_qs/policy_extraction/rerun_g1_bc_expert_uniform_mlp50k_20260528/velocity_flat_unitree_g1/mlp_ref/mlp/offline/bc50k_expert_uniform_policy0k/seed_0/final_policy_extraction.pt,scripts/outputs/mjlab_qs/flow_mbpo_v0_replay/flow_endpoint_ensemble_seed0_h1_unc0p5_q0p90/synthetic_replay.pt,scripts/outputs/mjlab_qs/flow_mbpo_h1_exact_replay_realonly_ratio_20260604/h200/exact_h1_r256_s0_anchor1_iter500_seed0,0,500,256,0,1e-5,reward,1.0,20.0,1.0,0.0,0.0,0.0,0.0,1.0,train,"expert,expert_noisy",,false,false,50,250,8,16,return,0.01,100.0,-1000000000.0,0,0.0,45.8491,594.97,0.625,1000,false,flow-mbpo-mjlab-h1-rootcause-20260604,flow_mbpo_h1_exact_replay_realonly_ratio_20260604,exact_h1_r256_s0_anchor1_iter500_seed0,Exact historical H1 replay real-only/synthetic-ratio AWR root-cause sweep; selection metric matches strongest-era default return.
flow_mbpo_h1_exact_replay_realonly_ratio_20260604,velocity_flat_unitree_g1,Mjlab-Velocity-Flat-Unitree-G1,scripts/outputs/mjlab_qs/windows/rerun_a25_native_qs_g1stage4_expertboost_20260527/velocity_flat_unitree_g1/d_qs_core_h16.pt,scripts/outputs/mjlab_qs/windows/rerun_a25_native_qs_g1stage4_expertboost_20260527/velocity_flat_unitree_g1/d_qs_core_h16.json,scripts/outputs/mjlab_qs/windows/rerun_a25_native_qs_g1stage4_expertboost_20260527/velocity_flat_unitree_g1/d_qs_core_h16_normalization.json,scripts/outputs/mjlab_qs/policy_extraction/rerun_g1_bc_expert_uniform_mlp50k_20260528/velocity_flat_unitree_g1/mlp_ref/mlp/offline/bc50k_expert_uniform_policy0k/seed_0/final_policy_extraction.pt,scripts/outputs/mjlab_qs/flow_mbpo_v0_replay/flow_endpoint_ensemble_seed0_h1_unc0p5_q0p90/synthetic_replay.pt,scripts/outputs/mjlab_qs/flow_mbpo_h1_exact_replay_realonly_ratio_20260604/h200/exact_h1_r248_s8_anchor1_iter500_seed0,0,500,248,8,1e-5,reward,1.0,20.0,1.0,0.0,0.0,0.0,0.0,1.0,train,"expert,expert_noisy",,false,false,50,250,8,16,return,0.01,100.0,-1000000000.0,0,0.0,45.8491,594.97,0.625,1000,false,flow-mbpo-mjlab-h1-rootcause-20260604,flow_mbpo_h1_exact_replay_realonly_ratio_20260604,exact_h1_r248_s8_anchor1_iter500_seed0,Exact historical H1 replay real-only/synthetic-ratio AWR root-cause sweep; selection metric matches strongest-era default return.
flow_mbpo_h1_exact_replay_realonly_ratio_20260604,velocity_flat_unitree_g1,Mjlab-Velocity-Flat-Unitree-G1,scripts/outputs/mjlab_qs/windows/rerun_a25_native_qs_g1stage4_expertboost_20260527/velocity_flat_unitree_g1/d_qs_core_h16.pt,scripts/outputs/mjlab_qs/windows/rerun_a25_native_qs_g1stage4_expertboost_20260527/velocity_flat_unitree_g1/d_qs_core_h16.json,scripts/outputs/mjlab_qs/windows/rerun_a25_native_qs_g1stage4_expertboost_20260527/velocity_flat_unitree_g1/d_qs_core_h16_normalization.json,scripts/outputs/mjlab_qs/policy_extraction/rerun_g1_bc_expert_uniform_mlp50k_20260528/velocity_flat_unitree_g1/mlp_ref/mlp/offline/bc50k_expert_uniform_policy0k/seed_0/final_policy_extraction.pt,scripts/outputs/mjlab_qs/flow_mbpo_v0_replay/flow_endpoint_ensemble_seed0_h1_unc0p5_q0p90/synthetic_replay.pt,scripts/outputs/mjlab_qs/flow_mbpo_h1_exact_replay_realonly_ratio_20260604/h200/exact_h1_r224_s32_anchor1_iter500_seed0,0,500,224,32,1e-5,reward,1.0,20.0,1.0,0.0,0.0,0.0,0.0,1.0,train,"expert,expert_noisy",,false,false,50,250,8,16,return,0.01,100.0,-1000000000.0,0,0.0,45.8491,594.97,0.625,1000,false,flow-mbpo-mjlab-h1-rootcause-20260604,flow_mbpo_h1_exact_replay_realonly_ratio_20260604,exact_h1_r224_s32_anchor1_iter500_seed0,Exact historical H1 replay real-only/synthetic-ratio AWR root-cause sweep; selection metric matches strongest-era default return.
flow_mbpo_h1_exact_replay_realonly_ratio_20260604,velocity_flat_unitree_g1,Mjlab-Velocity-Flat-Unitree-G1,scripts/outputs/mjlab_qs/windows/rerun_a25_native_qs_g1stage4_expertboost_20260527/velocity_flat_unitree_g1/d_qs_core_h16.pt,scripts/outputs/mjlab_qs/windows/rerun_a25_native_qs_g1stage4_expertboost_20260527/velocity_flat_unitree_g1/d_qs_core_h16.json,scripts/outputs/mjlab_qs/windows/rerun_a25_native_qs_g1stage4_expertboost_20260527/velocity_flat_unitree_g1/d_qs_core_h16_normalization.json,scripts/outputs/mjlab_qs/policy_extraction/rerun_g1_bc_expert_uniform_mlp50k_20260528/velocity_flat_unitree_g1/mlp_ref/mlp/offline/bc50k_expert_uniform_policy0k/seed_0/final_policy_extraction.pt,scripts/outputs/mjlab_qs/flow_mbpo_v0_replay/flow_endpoint_ensemble_seed0_h1_unc0p5_q0p90/synthetic_replay.pt,scripts/outputs/mjlab_qs/flow_mbpo_h1_exact_replay_realonly_ratio_20260604/h200/exact_h1_r192_s64_anchor1_iter500_seed0,0,500,192,64,1e-5,reward,1.0,20.0,1.0,0.0,0.0,0.0,0.0,1.0,train,"expert,expert_noisy",,false,false,50,250,8,16,return,0.01,100.0,-1000000000.0,0,0.0,45.8491,594.97,0.625,1000,false,flow-mbpo-mjlab-h1-rootcause-20260604,flow_mbpo_h1_exact_replay_realonly_ratio_20260604,exact_h1_r192_s64_anchor1_iter500_seed0,Exact historical H1 replay real-only/synthetic-ratio AWR root-cause sweep; selection metric matches strongest-era default return.
flow_mbpo_h1_exact_replay_realonly_ratio_20260604,velocity_flat_unitree_g1,Mjlab-Velocity-Flat-Unitree-G1,scripts/outputs/mjlab_qs/windows/rerun_a25_native_qs_g1stage4_expertboost_20260527/velocity_flat_unitree_g1/d_qs_core_h16.pt,scripts/outputs/mjlab_qs/windows/rerun_a25_native_qs_g1stage4_expertboost_20260527/velocity_flat_unitree_g1/d_qs_core_h16.json,scripts/outputs/mjlab_qs/windows/rerun_a25_native_qs_g1stage4_expertboost_20260527/velocity_flat_unitree_g1/d_qs_core_h16_normalization.json,scripts/outputs/mjlab_qs/policy_extraction/rerun_g1_bc_expert_uniform_mlp50k_20260528/velocity_flat_unitree_g1/mlp_ref/mlp/offline/bc50k_expert_uniform_policy0k/seed_1/final_policy_extraction.pt,scripts/outputs/mjlab_qs/flow_mbpo_v0_replay/flow_endpoint_ensemble_seed0_h1_unc0p5_q0p90/synthetic_replay.pt,scripts/outputs/mjlab_qs/flow_mbpo_h1_exact_replay_realonly_ratio_20260604/h200/exact_h1_r256_s0_anchor1_iter500_seed1,1,500,256,0,1e-5,reward,1.0,20.0,1.0,0.0,0.0,0.0,0.0,1.0,train,"expert,expert_noisy",,false,false,50,250,8,16,return,0.01,100.0,-1000000000.0,0,0.0,45.8491,594.97,0.625,1000,false,flow-mbpo-mjlab-h1-rootcause-20260604,flow_mbpo_h1_exact_replay_realonly_ratio_20260604,exact_h1_r256_s0_anchor1_iter500_seed1,Exact historical H1 replay real-only/synthetic-ratio AWR root-cause sweep; selection metric matches strongest-era default return.
flow_mbpo_h1_exact_replay_realonly_ratio_20260604,velocity_flat_unitree_g1,Mjlab-Velocity-Flat-Unitree-G1,scripts/outputs/mjlab_qs/windows/rerun_a25_native_qs_g1stage4_expertboost_20260527/velocity_flat_unitree_g1/d_qs_core_h16.pt,scripts/outputs/mjlab_qs/windows/rerun_a25_native_qs_g1stage4_expertboost_20260527/velocity_flat_unitree_g1/d_qs_core_h16.json,scripts/outputs/mjlab_qs/windows/rerun_a25_native_qs_g1stage4_expertboost_20260527/velocity_flat_unitree_g1/d_qs_core_h16_normalization.json,scripts/outputs/mjlab_qs/policy_extraction/rerun_g1_bc_expert_uniform_mlp50k_20260528/velocity_flat_unitree_g1/mlp_ref/mlp/offline/bc50k_expert_uniform_policy0k/seed_1/final_policy_extraction.pt,scripts/outputs/mjlab_qs/flow_mbpo_v0_replay/flow_endpoint_ensemble_seed0_h1_unc0p5_q0p90/synthetic_replay.pt,scripts/outputs/mjlab_qs/flow_mbpo_h1_exact_replay_realonly_ratio_20260604/h200/exact_h1_r248_s8_anchor1_iter500_seed1,1,500,248,8,1e-5,reward,1.0,20.0,1.0,0.0,0.0,0.0,0.0,1.0,train,"expert,expert_noisy",,false,false,50,250,8,16,return,0.01,100.0,-1000000000.0,0,0.0,45.8491,594.97,0.625,1000,false,flow-mbpo-mjlab-h1-rootcause-20260604,flow_mbpo_h1_exact_replay_realonly_ratio_20260604,exact_h1_r248_s8_anchor1_iter500_seed1,Exact historical H1 replay real-only/synthetic-ratio AWR root-cause sweep; selection metric matches strongest-era default return.
flow_mbpo_h1_exact_replay_realonly_ratio_20260604,velocity_flat_unitree_g1,Mjlab-Velocity-Flat-Unitree-G1,scripts/outputs/mjlab_qs/windows/rerun_a25_native_qs_g1stage4_expertboost_20260527/velocity_flat_unitree_g1/d_qs_core_h16.pt,scripts/outputs/mjlab_qs/windows/rerun_a25_native_qs_g1stage4_expertboost_20260527/velocity_flat_unitree_g1/d_qs_core_h16.json,scripts/outputs/mjlab_qs/windows/rerun_a25_native_qs_g1stage4_expertboost_20260527/velocity_flat_unitree_g1/d_qs_core_h16_normalization.json,scripts/outputs/mjlab_qs/policy_extraction/rerun_g1_bc_expert_uniform_mlp50k_20260528/velocity_flat_unitree_g1/mlp_ref/mlp/offline/bc50k_expert_uniform_policy0k/seed_1/final_policy_extraction.pt,scripts/outputs/mjlab_qs/flow_mbpo_v0_replay/flow_endpoint_ensemble_seed0_h1_unc0p5_q0p90/synthetic_replay.pt,scripts/outputs/mjlab_qs/flow_mbpo_h1_exact_replay_realonly_ratio_20260604/h200/exact_h1_r224_s32_anchor1_iter500_seed1,1,500,224,32,1e-5,reward,1.0,20.0,1.0,0.0,0.0,0.0,0.0,1.0,train,"expert,expert_noisy",,false,false,50,250,8,16,return,0.01,100.0,-1000000000.0,0,0.0,45.8491,594.97,0.625,1000,false,flow-mbpo-mjlab-h1-rootcause-20260604,flow_mbpo_h1_exact_replay_realonly_ratio_20260604,exact_h1_r224_s32_anchor1_iter500_seed1,Exact historical H1 replay real-only/synthetic-ratio AWR root-cause sweep; selection metric matches strongest-era default return.
flow_mbpo_h1_exact_replay_realonly_ratio_20260604,velocity_flat_unitree_g1,Mjlab-Velocity-Flat-Unitree-G1,scripts/outputs/mjlab_qs/windows/rerun_a25_native_qs_g1stage4_expertboost_20260527/velocity_flat_unitree_g1/d_qs_core_h16.pt,scripts/outputs/mjlab_qs/windows/rerun_a25_native_qs_g1stage4_expertboost_20260527/velocity_flat_unitree_g1/d_qs_core_h16.json,scripts/outputs/mjlab_qs/windows/rerun_a25_native_qs_g1stage4_expertboost_20260527/velocity_flat_unitree_g1/d_qs_core_h16_normalization.json,scripts/outputs/mjlab_qs/policy_extraction/rerun_g1_bc_expert_uniform_mlp50k_20260528/velocity_flat_unitree_g1/mlp_ref/mlp/offline/bc50k_expert_uniform_policy0k/seed_1/final_policy_extraction.pt,scripts/outputs/mjlab_qs/flow_mbpo_v0_replay/flow_endpoint_ensemble_seed0_h1_unc0p5_q0p90/synthetic_replay.pt,scripts/outputs/mjlab_qs/flow_mbpo_h1_exact_replay_realonly_ratio_20260604/h200/exact_h1_r192_s64_anchor1_iter500_seed1,1,500,192,64,1e-5,reward,1.0,20.0,1.0,0.0,0.0,0.0,0.0,1.0,train,"expert,expert_noisy",,false,false,50,250,8,16,return,0.01,100.0,-1000000000.0,0,0.0,45.8491,594.97,0.625,1000,false,flow-mbpo-mjlab-h1-rootcause-20260604,flow_mbpo_h1_exact_replay_realonly_ratio_20260604,exact_h1_r192_s64_anchor1_iter500_seed1,Exact historical H1 replay real-only/synthetic-ratio AWR root-cause sweep; selection metric matches strongest-era default return.
flow_mbpo_h1_exact_replay_realonly_ratio_20260604,velocity_flat_unitree_g1,Mjlab-Velocity-Flat-Unitree-G1,scripts/outputs/mjlab_qs/windows/rerun_a25_native_qs_g1stage4_expertboost_20260527/velocity_flat_unitree_g1/d_qs_core_h16.pt,scripts/outputs/mjlab_qs/windows/rerun_a25_native_qs_g1stage4_expertboost_20260527/velocity_flat_unitree_g1/d_qs_core_h16.json,scripts/outputs/mjlab_qs/windows/rerun_a25_native_qs_g1stage4_expertboost_20260527/velocity_flat_unitree_g1/d_qs_core_h16_normalization.json,scripts/outputs/mjlab_qs/policy_extraction/rerun_g1_bc_expert_uniform_mlp50k_20260528/velocity_flat_unitree_g1/mlp_ref/mlp/offline/bc50k_expert_uniform_policy0k/seed_2/final_policy_extraction.pt,scripts/outputs/mjlab_qs/flow_mbpo_v0_replay/flow_endpoint_ensemble_seed0_h1_unc0p5_q0p90/synthetic_replay.pt,scripts/outputs/mjlab_qs/flow_mbpo_h1_exact_replay_realonly_ratio_20260604/h200/exact_h1_r256_s0_anchor1_iter500_seed2,2,500,256,0,1e-5,reward,1.0,20.0,1.0,0.0,0.0,0.0,0.0,1.0,train,"expert,expert_noisy",,false,false,50,250,8,16,return,0.01,100.0,-1000000000.0,0,0.0,45.8491,594.97,0.625,1000,false,flow-mbpo-mjlab-h1-rootcause-20260604,flow_mbpo_h1_exact_replay_realonly_ratio_20260604,exact_h1_r256_s0_anchor1_iter500_seed2,Exact historical H1 replay real-only/synthetic-ratio AWR root-cause sweep; selection metric matches strongest-era default return.
flow_mbpo_h1_exact_replay_realonly_ratio_20260604,velocity_flat_unitree_g1,Mjlab-Velocity-Flat-Unitree-G1,scripts/outputs/mjlab_qs/windows/rerun_a25_native_qs_g1stage4_expertboost_20260527/velocity_flat_unitree_g1/d_qs_core_h16.pt,scripts/outputs/mjlab_qs/windows/rerun_a25_native_qs_g1stage4_expertboost_20260527/velocity_flat_unitree_g1/d_qs_core_h16.json,scripts/outputs/mjlab_qs/windows/rerun_a25_native_qs_g1stage4_expertboost_20260527/velocity_flat_unitree_g1/d_qs_core_h16_normalization.json,scripts/outputs/mjlab_qs/policy_extraction/rerun_g1_bc_expert_uniform_mlp50k_20260528/velocity_flat_unitree_g1/mlp_ref/mlp/offline/bc50k_expert_uniform_policy0k/seed_2/final_policy_extraction.pt,scripts/outputs/mjlab_qs/flow_mbpo_v0_replay/flow_endpoint_ensemble_seed0_h1_unc0p5_q0p90/synthetic_replay.pt,scripts/outputs/mjlab_qs/flow_mbpo_h1_exact_replay_realonly_ratio_20260604/h200/exact_h1_r248_s8_anchor1_iter500_seed2,2,500,248,8,1e-5,reward,1.0,20.0,1.0,0.0,0.0,0.0,0.0,1.0,train,"expert,expert_noisy",,false,false,50,250,8,16,return,0.01,100.0,-1000000000.0,0,0.0,45.8491,594.97,0.625,1000,false,flow-mbpo-mjlab-h1-rootcause-20260604,flow_mbpo_h1_exact_replay_realonly_ratio_20260604,exact_h1_r248_s8_anchor1_iter500_seed2,Exact historical H1 replay real-only/synthetic-ratio AWR root-cause sweep; selection metric matches strongest-era default return.
