run_key,stage,suite,task_key,env,complexity,episode_length,method_key,method_description,alg,seed,hparam_profile,max_epochs,num_envs,eval_runs,rollout_episodes,rollout_max_steps,wandb_project,wandb_group,notes,overrides
smoke_gym_hopper_mlpwm_mlppolicy_s0_default,smoke,gym,hopper,gym_hopper_mujoco,low,1000,mlpwm_mlppolicy,PWM baseline (MLP world model + MLP policy),pwm_5M_baseline_final,0,default,200,16,8,2,1000,flow-mbpo-formal-experiments,single_task_online_smoke_gym,"Single-task online RL from scratch on PACE-ICE. task=hopper, method=mlpwm_mlppolicy, profile=default",alg.save_interval=100;++alg.wandb_log_every_epoch=true
smoke_gym_hopper_flowwm_mlppolicy_s0_default,smoke,gym,hopper,gym_hopper_mujoco,low,1000,flowwm_mlppolicy,Flow world model + MLP policy,pwm_5M_flow_v2_substeps4,0,default,200,16,8,2,1000,flow-mbpo-formal-experiments,single_task_online_smoke_gym,"Single-task online RL from scratch on PACE-ICE. task=hopper, method=flowwm_mlppolicy, profile=default",alg.save_interval=100;++alg.wandb_log_every_epoch=true
smoke_gym_hopper_mlpwm_flowpolicy_s0_default,smoke,gym,hopper,gym_hopper_mujoco,low,1000,mlpwm_flowpolicy,MLP world model + Flow policy,pwm_5M_flowpolicy,0,default,200,16,8,2,1000,flow-mbpo-formal-experiments,single_task_online_smoke_gym,"Single-task online RL from scratch on PACE-ICE. task=hopper, method=mlpwm_flowpolicy, profile=default",alg.save_interval=100;++alg.wandb_log_every_epoch=true
smoke_gym_hopper_flowwm_flowpolicy_s0_default,smoke,gym,hopper,gym_hopper_mujoco,low,1000,flowwm_flowpolicy,Flow world model + Flow policy,pwm_5M_fullflow,0,default,200,16,8,2,1000,flow-mbpo-formal-experiments,single_task_online_smoke_gym,"Single-task online RL from scratch on PACE-ICE. task=hopper, method=flowwm_flowpolicy, profile=default",alg.save_interval=100;++alg.wandb_log_every_epoch=true
smoke_gym_ant_mlpwm_mlppolicy_s0_default,smoke,gym,ant,gym_ant_mujoco,medium,1000,mlpwm_mlppolicy,PWM baseline (MLP world model + MLP policy),pwm_5M_baseline_final,0,default,200,16,8,2,1000,flow-mbpo-formal-experiments,single_task_online_smoke_gym,"Single-task online RL from scratch on PACE-ICE. task=ant, method=mlpwm_mlppolicy, profile=default",alg.save_interval=100;++alg.wandb_log_every_epoch=true
smoke_gym_ant_flowwm_mlppolicy_s0_default,smoke,gym,ant,gym_ant_mujoco,medium,1000,flowwm_mlppolicy,Flow world model + MLP policy,pwm_5M_flow_v2_substeps4,0,default,200,16,8,2,1000,flow-mbpo-formal-experiments,single_task_online_smoke_gym,"Single-task online RL from scratch on PACE-ICE. task=ant, method=flowwm_mlppolicy, profile=default",alg.save_interval=100;++alg.wandb_log_every_epoch=true
smoke_gym_ant_mlpwm_flowpolicy_s0_default,smoke,gym,ant,gym_ant_mujoco,medium,1000,mlpwm_flowpolicy,MLP world model + Flow policy,pwm_5M_flowpolicy,0,default,200,16,8,2,1000,flow-mbpo-formal-experiments,single_task_online_smoke_gym,"Single-task online RL from scratch on PACE-ICE. task=ant, method=mlpwm_flowpolicy, profile=default",alg.save_interval=100;++alg.wandb_log_every_epoch=true
smoke_gym_ant_flowwm_flowpolicy_s0_default,smoke,gym,ant,gym_ant_mujoco,medium,1000,flowwm_flowpolicy,Flow world model + Flow policy,pwm_5M_fullflow,0,default,200,16,8,2,1000,flow-mbpo-formal-experiments,single_task_online_smoke_gym,"Single-task online RL from scratch on PACE-ICE. task=ant, method=flowwm_flowpolicy, profile=default",alg.save_interval=100;++alg.wandb_log_every_epoch=true
smoke_mjlab_proxy_anymal_mlpwm_mlppolicy_s0_default,smoke,mjlab_proxy,anymal,mjlab_velocity_flat_unitree_go2,medium,1000,mlpwm_mlppolicy,PWM baseline (MLP world model + MLP policy),pwm_5M_baseline_final,0,default,200,32,8,2,1000,flow-mbpo-formal-experiments,single_task_online_smoke_mjlab_proxy,"Single-task online RL from scratch on PACE-ICE. task=anymal, method=mlpwm_mlppolicy, profile=default",alg.save_interval=100;++alg.wandb_log_every_epoch=true
smoke_mjlab_proxy_anymal_flowwm_mlppolicy_s0_default,smoke,mjlab_proxy,anymal,mjlab_velocity_flat_unitree_go2,medium,1000,flowwm_mlppolicy,Flow world model + MLP policy,pwm_5M_flow_v2_substeps4,0,default,200,32,8,2,1000,flow-mbpo-formal-experiments,single_task_online_smoke_mjlab_proxy,"Single-task online RL from scratch on PACE-ICE. task=anymal, method=flowwm_mlppolicy, profile=default",alg.save_interval=100;++alg.wandb_log_every_epoch=true
