run_key,stage,suite,task_key,env,complexity,episode_length,method_key,method_description,alg,seed,hparam_profile,max_epochs,num_envs,eval_runs,rollout_episodes,rollout_max_steps,wandb_project,wandb_group,notes,overrides
smoke_gym_humanoid_mlpwm_mlppolicy_s0_default,smoke,gym,humanoid,gym_humanoid_mujoco,medium_high,1000,mlpwm_mlppolicy,PWM baseline (MLP world model + MLP policy),pwm_5M_baseline_final,0,default,200,16,8,2,1000,flow-mbpo-single-task-online-smoke-live-20260228,single_task_online_smoke_gym,"Single-task online RL from scratch on PACE-ICE. task=humanoid, method=mlpwm_mlppolicy, profile=default",alg.save_interval=100;++alg.wandb_log_every_epoch=true
smoke_gym_humanoid_flowwm_mlppolicy_s0_default,smoke,gym,humanoid,gym_humanoid_mujoco,medium_high,1000,flowwm_mlppolicy,Flow world model + MLP policy,pwm_5M_flow_v2_substeps4,0,default,200,16,8,2,1000,flow-mbpo-single-task-online-smoke-live-20260228,single_task_online_smoke_gym,"Single-task online RL from scratch on PACE-ICE. task=humanoid, method=flowwm_mlppolicy, profile=default",alg.save_interval=100;++alg.wandb_log_every_epoch=true
smoke_mjlab_proxy_snu_humanoid_mlpwm_mlppolicy_s0_default,smoke,mjlab_proxy,snu_humanoid,mjlab_velocity_flat_unitree_g1,high,1000,mlpwm_mlppolicy,PWM baseline (MLP world model + MLP policy),pwm_5M_baseline_final,0,default,200,32,8,2,1000,flow-mbpo-single-task-online-smoke-live-20260228,single_task_online_smoke_mjlab_proxy,"Single-task online RL from scratch on PACE-ICE. task=snu_humanoid, method=mlpwm_mlppolicy, profile=default",alg.save_interval=100;++alg.wandb_log_every_epoch=true
smoke_mjlab_proxy_snu_humanoid_flowwm_mlppolicy_s0_default,smoke,mjlab_proxy,snu_humanoid,mjlab_velocity_flat_unitree_g1,high,1000,flowwm_mlppolicy,Flow world model + MLP policy,pwm_5M_flow_v2_substeps4,0,default,200,32,8,2,1000,flow-mbpo-single-task-online-smoke-live-20260228,single_task_online_smoke_mjlab_proxy,"Single-task online RL from scratch on PACE-ICE. task=snu_humanoid, method=flowwm_mlppolicy, profile=default",alg.save_interval=100;++alg.wandb_log_every_epoch=true
smoke_mjlab_velocity_flat_unitree_g1_mlpwm_mlppolicy_s0_default,smoke,mjlab,velocity_flat_unitree_g1,mjlab_velocity_flat_unitree_g1,medium,1000,mlpwm_mlppolicy,PWM baseline (MLP world model + MLP policy),pwm_5M_baseline_final,0,default,200,32,8,2,1000,flow-mbpo-single-task-online-smoke-live-20260228,single_task_online_smoke_mjlab,"Single-task online RL from scratch on PACE-ICE. task=velocity_flat_unitree_g1, method=mlpwm_mlppolicy, profile=default",alg.save_interval=100;++alg.wandb_log_every_epoch=true
smoke_mjlab_velocity_flat_unitree_g1_flowwm_mlppolicy_s0_default,smoke,mjlab,velocity_flat_unitree_g1,mjlab_velocity_flat_unitree_g1,medium,1000,flowwm_mlppolicy,Flow world model + MLP policy,pwm_5M_flow_v2_substeps4,0,default,200,32,8,2,1000,flow-mbpo-single-task-online-smoke-live-20260228,single_task_online_smoke_mjlab,"Single-task online RL from scratch on PACE-ICE. task=velocity_flat_unitree_g1, method=flowwm_mlppolicy, profile=default",alg.save_interval=100;++alg.wandb_log_every_epoch=true
smoke_mjlab_tracking_flat_unitree_g1_mlpwm_mlppolicy_s0_default,smoke,mjlab,tracking_flat_unitree_g1,mjlab_tracking_flat_unitree_g1,medium_high,1000,mlpwm_mlppolicy,PWM baseline (MLP world model + MLP policy),pwm_5M_baseline_final,0,default,200,32,8,2,1000,flow-mbpo-single-task-online-smoke-live-20260228,single_task_online_smoke_mjlab,"Single-task online RL from scratch on PACE-ICE. task=tracking_flat_unitree_g1, method=mlpwm_mlppolicy, profile=default",alg.save_interval=100;++alg.wandb_log_every_epoch=true;alg.horizon=1
smoke_mjlab_tracking_flat_unitree_g1_flowwm_mlppolicy_s0_default,smoke,mjlab,tracking_flat_unitree_g1,mjlab_tracking_flat_unitree_g1,medium_high,1000,flowwm_mlppolicy,Flow world model + MLP policy,pwm_5M_flow_v2_substeps4,0,default,200,32,8,2,1000,flow-mbpo-single-task-online-smoke-live-20260228,single_task_online_smoke_mjlab,"Single-task online RL from scratch on PACE-ICE. task=tracking_flat_unitree_g1, method=flowwm_mlppolicy, profile=default",alg.save_interval=100;++alg.wandb_log_every_epoch=true;alg.horizon=1
smoke_mjlab_leap_left_handcube_rotate_mlpwm_mlppolicy_s0_default,smoke,mjlab,leap_left_handcube_rotate,mjlab_leap_left_handcube_rotate,high,500,mlpwm_mlppolicy,PWM baseline (MLP world model + MLP policy),pwm_5M_baseline_final,0,default,200,16,8,2,500,flow-mbpo-single-task-online-smoke-live-20260228,single_task_online_smoke_mjlab,"Single-task online RL from scratch on PACE-ICE. task=leap_left_handcube_rotate, method=mlpwm_mlppolicy, profile=default",alg.save_interval=100;++alg.wandb_log_every_epoch=true
smoke_mjlab_leap_left_handcube_rotate_flowwm_mlppolicy_s0_default,smoke,mjlab,leap_left_handcube_rotate,mjlab_leap_left_handcube_rotate,high,500,flowwm_mlppolicy,Flow world model + MLP policy,pwm_5M_flow_v2_substeps4,0,default,200,16,8,2,500,flow-mbpo-single-task-online-smoke-live-20260228,single_task_online_smoke_mjlab,"Single-task online RL from scratch on PACE-ICE. task=leap_left_handcube_rotate, method=flowwm_mlppolicy, profile=default",alg.save_interval=100;++alg.wandb_log_every_epoch=true
