phase,stage,task_key,dataset_key,method_key,method_label,profile,seed,dataset,dataset_metadata,alg_config,train_iters,batch_size,eval_every,log_every,split_seed,wandb_project,wandb_group,wandb_job_type,disable_wandb
phase18,phase18_residual_chunked_formal,velocity_flat_unitree_g1,velocity_flat_unitree_g1_teacher,residualflow_mlppolicy,Residual Flow Joint,residual_flow_joint,1,scripts/outputs/world_model_phase1/datasets/phase1_velocity_flat_unitree_g1_teacher_seed0.pt,scripts/outputs/world_model_phase1/datasets/phase1_velocity_flat_unitree_g1_teacher_seed0.json,scripts/cfg/alg/pwm_5M_residual_flow_joint.yaml,2000,128,100,50,0,flow-mbpo-phase18-residual-chunked-wm,phase18_residual_chunked_formal_velocity_flat_unitree_g1_velocity_flat_unitree_g1_teacher,formal,false
phase18,phase18_residual_chunked_formal,velocity_flat_unitree_g1,velocity_flat_unitree_g1_teacher,residualflow_mlppolicy,Residual Flow Joint,residual_flow_joint,2,scripts/outputs/world_model_phase1/datasets/phase1_velocity_flat_unitree_g1_teacher_seed0.pt,scripts/outputs/world_model_phase1/datasets/phase1_velocity_flat_unitree_g1_teacher_seed0.json,scripts/cfg/alg/pwm_5M_residual_flow_joint.yaml,2000,128,100,50,0,flow-mbpo-phase18-residual-chunked-wm,phase18_residual_chunked_formal_velocity_flat_unitree_g1_velocity_flat_unitree_g1_teacher,formal,false
phase18,phase18_residual_chunked_formal,velocity_flat_unitree_g1,velocity_flat_unitree_g1_teacher,chunkwm_mlppolicy,Chunk2 MLP WM,chunk2_mlp,0,scripts/outputs/world_model_phase1/datasets/phase1_velocity_flat_unitree_g1_teacher_seed0.pt,scripts/outputs/world_model_phase1/datasets/phase1_velocity_flat_unitree_g1_teacher_seed0.json,scripts/cfg/alg/pwm_5M_chunk2_mlp.yaml,2000,128,100,50,0,flow-mbpo-phase18-residual-chunked-wm,phase18_residual_chunked_formal_velocity_flat_unitree_g1_velocity_flat_unitree_g1_teacher,formal,false
phase18,phase18_residual_chunked_formal,velocity_flat_unitree_g1,velocity_flat_unitree_g1_teacher,chunkwm_mlppolicy,Chunk2 MLP WM,chunk2_mlp,1,scripts/outputs/world_model_phase1/datasets/phase1_velocity_flat_unitree_g1_teacher_seed0.pt,scripts/outputs/world_model_phase1/datasets/phase1_velocity_flat_unitree_g1_teacher_seed0.json,scripts/cfg/alg/pwm_5M_chunk2_mlp.yaml,2000,128,100,50,0,flow-mbpo-phase18-residual-chunked-wm,phase18_residual_chunked_formal_velocity_flat_unitree_g1_velocity_flat_unitree_g1_teacher,formal,false
phase18,phase18_residual_chunked_formal,velocity_flat_unitree_g1,velocity_flat_unitree_g1_teacher,chunkwm_mlppolicy,Chunk2 MLP WM,chunk2_mlp,2,scripts/outputs/world_model_phase1/datasets/phase1_velocity_flat_unitree_g1_teacher_seed0.pt,scripts/outputs/world_model_phase1/datasets/phase1_velocity_flat_unitree_g1_teacher_seed0.json,scripts/cfg/alg/pwm_5M_chunk2_mlp.yaml,2000,128,100,50,0,flow-mbpo-phase18-residual-chunked-wm,phase18_residual_chunked_formal_velocity_flat_unitree_g1_velocity_flat_unitree_g1_teacher,formal,false
phase18,phase18_residual_chunked_formal,velocity_flat_unitree_g1,velocity_flat_unitree_g1_teacher,chunkresidualflow_mlppolicy,Chunk2 Residual Flow WM,chunk2_residual_flow,0,scripts/outputs/world_model_phase1/datasets/phase1_velocity_flat_unitree_g1_teacher_seed0.pt,scripts/outputs/world_model_phase1/datasets/phase1_velocity_flat_unitree_g1_teacher_seed0.json,scripts/cfg/alg/pwm_5M_chunk2_residual_flow.yaml,2000,128,100,50,0,flow-mbpo-phase18-residual-chunked-wm,phase18_residual_chunked_formal_velocity_flat_unitree_g1_velocity_flat_unitree_g1_teacher,formal,false
phase18,phase18_residual_chunked_formal,velocity_flat_unitree_g1,velocity_flat_unitree_g1_teacher,chunkresidualflow_mlppolicy,Chunk2 Residual Flow WM,chunk2_residual_flow,1,scripts/outputs/world_model_phase1/datasets/phase1_velocity_flat_unitree_g1_teacher_seed0.pt,scripts/outputs/world_model_phase1/datasets/phase1_velocity_flat_unitree_g1_teacher_seed0.json,scripts/cfg/alg/pwm_5M_chunk2_residual_flow.yaml,2000,128,100,50,0,flow-mbpo-phase18-residual-chunked-wm,phase18_residual_chunked_formal_velocity_flat_unitree_g1_velocity_flat_unitree_g1_teacher,formal,false
phase18,phase18_residual_chunked_formal,velocity_flat_unitree_g1,velocity_flat_unitree_g1_teacher,chunkresidualflow_mlppolicy,Chunk2 Residual Flow WM,chunk2_residual_flow,2,scripts/outputs/world_model_phase1/datasets/phase1_velocity_flat_unitree_g1_teacher_seed0.pt,scripts/outputs/world_model_phase1/datasets/phase1_velocity_flat_unitree_g1_teacher_seed0.json,scripts/cfg/alg/pwm_5M_chunk2_residual_flow.yaml,2000,128,100,50,0,flow-mbpo-phase18-residual-chunked-wm,phase18_residual_chunked_formal_velocity_flat_unitree_g1_velocity_flat_unitree_g1_teacher,formal,false
phase18,phase18_residual_chunked_formal,velocity_flat_unitree_go1,velocity_flat_unitree_go1_teacher,mlpwm_mlppolicy,MLP WM Ref,mlp_ref,0,scripts/outputs/world_model_phase1/datasets/phase1_velocity_flat_unitree_go1_teacher_seed0.pt,scripts/outputs/world_model_phase1/datasets/phase1_velocity_flat_unitree_go1_teacher_seed0.json,scripts/cfg/alg/pwm_5M_baseline_pwmorig.yaml,2000,128,100,50,0,flow-mbpo-phase18-residual-chunked-wm,phase18_residual_chunked_formal_velocity_flat_unitree_go1_velocity_flat_unitree_go1_teacher,formal,false
phase18,phase18_residual_chunked_formal,velocity_flat_unitree_go1,velocity_flat_unitree_go1_teacher,mlpwm_mlppolicy,MLP WM Ref,mlp_ref,1,scripts/outputs/world_model_phase1/datasets/phase1_velocity_flat_unitree_go1_teacher_seed0.pt,scripts/outputs/world_model_phase1/datasets/phase1_velocity_flat_unitree_go1_teacher_seed0.json,scripts/cfg/alg/pwm_5M_baseline_pwmorig.yaml,2000,128,100,50,0,flow-mbpo-phase18-residual-chunked-wm,phase18_residual_chunked_formal_velocity_flat_unitree_go1_velocity_flat_unitree_go1_teacher,formal,false
