phase,stage,task_key,dataset_key,method_key,method_label,profile,seed,dataset,dataset_metadata,alg_config,train_iters,batch_size,eval_every,log_every,split_seed,wandb_project,wandb_group,wandb_job_type,disable_wandb
phase18,phase18_residual_chunked_formal,velocity_flat_unitree_g1,velocity_flat_unitree_g1_teacher,mlpwm_mlppolicy,MLP WM Ref,mlp_ref,0,scripts/outputs/world_model_phase1/datasets/phase1_velocity_flat_unitree_g1_teacher_seed0.pt,scripts/outputs/world_model_phase1/datasets/phase1_velocity_flat_unitree_g1_teacher_seed0.json,scripts/cfg/alg/pwm_5M_baseline_pwmorig.yaml,2000,128,100,50,0,flow-mbpo-phase18-residual-chunked-wm,phase18_residual_chunked_formal_velocity_flat_unitree_g1_velocity_flat_unitree_g1_teacher,formal,false
phase18,phase18_residual_chunked_formal,velocity_flat_unitree_g1,velocity_flat_unitree_g1_teacher,mlpwm_mlppolicy,MLP WM Ref,mlp_ref,1,scripts/outputs/world_model_phase1/datasets/phase1_velocity_flat_unitree_g1_teacher_seed0.pt,scripts/outputs/world_model_phase1/datasets/phase1_velocity_flat_unitree_g1_teacher_seed0.json,scripts/cfg/alg/pwm_5M_baseline_pwmorig.yaml,2000,128,100,50,0,flow-mbpo-phase18-residual-chunked-wm,phase18_residual_chunked_formal_velocity_flat_unitree_g1_velocity_flat_unitree_g1_teacher,formal,false
phase18,phase18_residual_chunked_formal,velocity_flat_unitree_g1,velocity_flat_unitree_g1_teacher,mlpwm_mlppolicy,MLP WM Ref,mlp_ref,2,scripts/outputs/world_model_phase1/datasets/phase1_velocity_flat_unitree_g1_teacher_seed0.pt,scripts/outputs/world_model_phase1/datasets/phase1_velocity_flat_unitree_g1_teacher_seed0.json,scripts/cfg/alg/pwm_5M_baseline_pwmorig.yaml,2000,128,100,50,0,flow-mbpo-phase18-residual-chunked-wm,phase18_residual_chunked_formal_velocity_flat_unitree_g1_velocity_flat_unitree_g1_teacher,formal,false
phase18,phase18_residual_chunked_formal,velocity_flat_unitree_g1,velocity_flat_unitree_g1_teacher,mlpwm_mlppolicy,Ensemble MLP WM x5,mlp_ensemble5,0,scripts/outputs/world_model_phase1/datasets/phase1_velocity_flat_unitree_g1_teacher_seed0.pt,scripts/outputs/world_model_phase1/datasets/phase1_velocity_flat_unitree_g1_teacher_seed0.json,scripts/cfg/alg/pwm_5M_baseline_ensemble5.yaml,2000,128,100,50,0,flow-mbpo-phase18-residual-chunked-wm,phase18_residual_chunked_formal_velocity_flat_unitree_g1_velocity_flat_unitree_g1_teacher,formal,false
phase18,phase18_residual_chunked_formal,velocity_flat_unitree_g1,velocity_flat_unitree_g1_teacher,mlpwm_mlppolicy,Ensemble MLP WM x5,mlp_ensemble5,1,scripts/outputs/world_model_phase1/datasets/phase1_velocity_flat_unitree_g1_teacher_seed0.pt,scripts/outputs/world_model_phase1/datasets/phase1_velocity_flat_unitree_g1_teacher_seed0.json,scripts/cfg/alg/pwm_5M_baseline_ensemble5.yaml,2000,128,100,50,0,flow-mbpo-phase18-residual-chunked-wm,phase18_residual_chunked_formal_velocity_flat_unitree_g1_velocity_flat_unitree_g1_teacher,formal,false
phase18,phase18_residual_chunked_formal,velocity_flat_unitree_g1,velocity_flat_unitree_g1_teacher,mlpwm_mlppolicy,Ensemble MLP WM x5,mlp_ensemble5,2,scripts/outputs/world_model_phase1/datasets/phase1_velocity_flat_unitree_g1_teacher_seed0.pt,scripts/outputs/world_model_phase1/datasets/phase1_velocity_flat_unitree_g1_teacher_seed0.json,scripts/cfg/alg/pwm_5M_baseline_ensemble5.yaml,2000,128,100,50,0,flow-mbpo-phase18-residual-chunked-wm,phase18_residual_chunked_formal_velocity_flat_unitree_g1_velocity_flat_unitree_g1_teacher,formal,false
phase18,phase18_residual_chunked_formal,velocity_flat_unitree_g1,velocity_flat_unitree_g1_teacher,flowwm_mlppolicy,Flow WM Ref,flow_ref_uniform_heun4,0,scripts/outputs/world_model_phase1/datasets/phase1_velocity_flat_unitree_g1_teacher_seed0.pt,scripts/outputs/world_model_phase1/datasets/phase1_velocity_flat_unitree_g1_teacher_seed0.json,scripts/cfg/alg/pwm_5M_flow_v2_substeps4.yaml,2000,128,100,50,0,flow-mbpo-phase18-residual-chunked-wm,phase18_residual_chunked_formal_velocity_flat_unitree_g1_velocity_flat_unitree_g1_teacher,formal,false
phase18,phase18_residual_chunked_formal,velocity_flat_unitree_g1,velocity_flat_unitree_g1_teacher,flowwm_mlppolicy,Flow WM Ref,flow_ref_uniform_heun4,1,scripts/outputs/world_model_phase1/datasets/phase1_velocity_flat_unitree_g1_teacher_seed0.pt,scripts/outputs/world_model_phase1/datasets/phase1_velocity_flat_unitree_g1_teacher_seed0.json,scripts/cfg/alg/pwm_5M_flow_v2_substeps4.yaml,2000,128,100,50,0,flow-mbpo-phase18-residual-chunked-wm,phase18_residual_chunked_formal_velocity_flat_unitree_g1_velocity_flat_unitree_g1_teacher,formal,false
phase18,phase18_residual_chunked_formal,velocity_flat_unitree_g1,velocity_flat_unitree_g1_teacher,flowwm_mlppolicy,Flow WM Ref,flow_ref_uniform_heun4,2,scripts/outputs/world_model_phase1/datasets/phase1_velocity_flat_unitree_g1_teacher_seed0.pt,scripts/outputs/world_model_phase1/datasets/phase1_velocity_flat_unitree_g1_teacher_seed0.json,scripts/cfg/alg/pwm_5M_flow_v2_substeps4.yaml,2000,128,100,50,0,flow-mbpo-phase18-residual-chunked-wm,phase18_residual_chunked_formal_velocity_flat_unitree_g1_velocity_flat_unitree_g1_teacher,formal,false
phase18,phase18_residual_chunked_formal,velocity_flat_unitree_g1,velocity_flat_unitree_g1_teacher,flowwm_mlppolicy,Flow Target EndpointResidual,flow_target_endpointres,0,scripts/outputs/world_model_phase1/datasets/phase1_velocity_flat_unitree_g1_teacher_seed0.pt,scripts/outputs/world_model_phase1/datasets/phase1_velocity_flat_unitree_g1_teacher_seed0.json,scripts/cfg/alg/pwm_5M_flow_v2_substeps4_target_endpointres.yaml,2000,128,100,50,0,flow-mbpo-phase18-residual-chunked-wm,phase18_residual_chunked_formal_velocity_flat_unitree_g1_velocity_flat_unitree_g1_teacher,formal,false
phase18,phase18_residual_chunked_formal,velocity_flat_unitree_g1,velocity_flat_unitree_g1_teacher,flowwm_mlppolicy,Flow Target EndpointResidual,flow_target_endpointres,1,scripts/outputs/world_model_phase1/datasets/phase1_velocity_flat_unitree_g1_teacher_seed0.pt,scripts/outputs/world_model_phase1/datasets/phase1_velocity_flat_unitree_g1_teacher_seed0.json,scripts/cfg/alg/pwm_5M_flow_v2_substeps4_target_endpointres.yaml,2000,128,100,50,0,flow-mbpo-phase18-residual-chunked-wm,phase18_residual_chunked_formal_velocity_flat_unitree_g1_velocity_flat_unitree_g1_teacher,formal,false
phase18,phase18_residual_chunked_formal,velocity_flat_unitree_g1,velocity_flat_unitree_g1_teacher,flowwm_mlppolicy,Flow Target EndpointResidual,flow_target_endpointres,2,scripts/outputs/world_model_phase1/datasets/phase1_velocity_flat_unitree_g1_teacher_seed0.pt,scripts/outputs/world_model_phase1/datasets/phase1_velocity_flat_unitree_g1_teacher_seed0.json,scripts/cfg/alg/pwm_5M_flow_v2_substeps4_target_endpointres.yaml,2000,128,100,50,0,flow-mbpo-phase18-residual-chunked-wm,phase18_residual_chunked_formal_velocity_flat_unitree_g1_velocity_flat_unitree_g1_teacher,formal,false
phase18,phase18_residual_chunked_formal,velocity_flat_unitree_g1,velocity_flat_unitree_g1_teacher,residualflow_mlppolicy,Residual Flow Frozen MLP,residual_flow_frozen_mlp,0,scripts/outputs/world_model_phase1/datasets/phase1_velocity_flat_unitree_g1_teacher_seed0.pt,scripts/outputs/world_model_phase1/datasets/phase1_velocity_flat_unitree_g1_teacher_seed0.json,scripts/cfg/alg/pwm_5M_residual_flow_frozen_mlp.yaml,2000,128,100,50,0,flow-mbpo-phase18-residual-chunked-wm,phase18_residual_chunked_formal_velocity_flat_unitree_g1_velocity_flat_unitree_g1_teacher,formal,false
phase18,phase18_residual_chunked_formal,velocity_flat_unitree_g1,velocity_flat_unitree_g1_teacher,residualflow_mlppolicy,Residual Flow Frozen MLP,residual_flow_frozen_mlp,1,scripts/outputs/world_model_phase1/datasets/phase1_velocity_flat_unitree_g1_teacher_seed0.pt,scripts/outputs/world_model_phase1/datasets/phase1_velocity_flat_unitree_g1_teacher_seed0.json,scripts/cfg/alg/pwm_5M_residual_flow_frozen_mlp.yaml,2000,128,100,50,0,flow-mbpo-phase18-residual-chunked-wm,phase18_residual_chunked_formal_velocity_flat_unitree_g1_velocity_flat_unitree_g1_teacher,formal,false
phase18,phase18_residual_chunked_formal,velocity_flat_unitree_g1,velocity_flat_unitree_g1_teacher,residualflow_mlppolicy,Residual Flow Frozen MLP,residual_flow_frozen_mlp,2,scripts/outputs/world_model_phase1/datasets/phase1_velocity_flat_unitree_g1_teacher_seed0.pt,scripts/outputs/world_model_phase1/datasets/phase1_velocity_flat_unitree_g1_teacher_seed0.json,scripts/cfg/alg/pwm_5M_residual_flow_frozen_mlp.yaml,2000,128,100,50,0,flow-mbpo-phase18-residual-chunked-wm,phase18_residual_chunked_formal_velocity_flat_unitree_g1_velocity_flat_unitree_g1_teacher,formal,false
phase18,phase18_residual_chunked_formal,velocity_flat_unitree_g1,velocity_flat_unitree_g1_teacher,residualflow_mlppolicy,Residual Flow Joint,residual_flow_joint,0,scripts/outputs/world_model_phase1/datasets/phase1_velocity_flat_unitree_g1_teacher_seed0.pt,scripts/outputs/world_model_phase1/datasets/phase1_velocity_flat_unitree_g1_teacher_seed0.json,scripts/cfg/alg/pwm_5M_residual_flow_joint.yaml,2000,128,100,50,0,flow-mbpo-phase18-residual-chunked-wm,phase18_residual_chunked_formal_velocity_flat_unitree_g1_velocity_flat_unitree_g1_teacher,formal,false
